No.,Headword,Group
684,ad lib,A
685,ad-lib,A
686,adman,A
687,admin,A
688,administer,A
689,administration,A
690,administrative,A
691,administratively,A
692,administrator,A
693,admirable,A
694,admirably,A
695,admiral,A
696,admiration,A
697,admire,A
698,admirer,A
699,admiring,A
700,admiringly,A
701,admissibility,A
702,admissible,A
703,admission,A
704,admit,A
705,admit of,A
706,admit-of,A
707,admittance,A
708,admittedly,A
709,admixture,A
710,admonish,A
711,admonition,A
712,admonitory,A
713,ad nauseam,A
714,ad-nauseam,A
715,ado,A
716,adobe,A
717,adolescence,A
718,adolescent,A
719,Adonis,A
720,adopt,A
721,adopted,A
722,adoptee,A
723,adopter,A
724,adoption,A
725,adoptive,A
726,adorable,A
727,adorably,A
728,adoration,A
729,adore,A
730,adoring,A
731,adoringly,A
732,adorn,A
733,adornment,A
734,adrenal gland,A
735,adrenal-gland,A
736,adrenaline,A
737,Adrian,A
738,adrift,A
739,adroit,A
740,adroitly,A
741,adroitness,A
742,ADSL,A
743,adsorb,A
744,adsorbent,A
745,ADT,A
746,aduki,A
747,adulation,A
748,adulatory,A
749,adult,A
750,adult education,A
751,adult-education,A
752,adulterate,A
753,adulteration,A
754,adulterer,A
755,adulteress,A
756,adulterous,A
757,adultery,A
758,adulthood,A
759,adulting,A
760,adumbrate,A
761,ad valorem,A
762,advance,A
763,advanced,A
764,advanced level,A
765,advanced-placementtm,A
766,advance guard,A
767,advance-guard,A
768,advance man,A
769,advancement,A
770,advancing,A
771,advantage,A
772,advantaged,A
773,advantageous,A
774,advantageously,A
775,advent,A
776,Advent calendar,A
777,adventitious,A
778,adventure,A
779,adventure game,A
780,adventure-game,A
781,adventure playground,A
782,adventure-playground,A
783,adventurer,A
784,adventuresome,A
785,adventuress,A
786,adventurism,A
787,adventurous,A
788,adventurously,A
789,adverb,A
790,adverbial,A
791,adverbial particle,A
792,adverbial-particle,A
793,adversarial,A
794,adversary,A
795,adversative,A
796,adverse,A
797,adversely,A
798,adversity,A
799,advert,A
800,advertise,A
801,advertisement,A
802,advertiser,A
803,advertising,A
804,advertorial,A
805,advice,A
806,advice column,A
807,advice-column,A
808,advice columnist,A
809,advice-columnist,A
810,advisability,A
811,advisable,A
812,advise,A
813,advisedly,A
814,advisement,A
815,adviser,A
816,advisory,A
817,advocaat,A
818,advocacy,A
819,advocacy group,A
820,advocacy-group,A
821,advocate,A
822,Adware™,A
823,adze,A
824,adzuki,A
825,a-e,A
826,aegis,A
827,aeolian,A
828,aeon,A
829,aerate,A
830,aeration,A
831,aerial,A
832,aerialist,A
833,aerie,A
834,aero-,A
835,aerobatic,A
836,aerobatics,A
837,aerobic,A
838,aerobics,A
839,aerodrome,A
840,aerodynamic,A
841,aerodynamically,A
842,aerodynamics,A
843,aerofoil,A
844,aerogramme,A
845,aeronaut,A
846,aeronautical,A
847,aeronautics,A
848,aeroplane,A
849,aerosol,A
850,aerospace,A
851,aerostat,A
852,aesop-s-fables,A
853,aesthete,A
854,aesthetic,A
855,aesthetically,A
856,aestheticism,A
857,aetiology,A
858,AFAIC,A
859,AFAIK,A
860,AFAIR,A
861,afar,A
862,afara,A
863,AFC,A
864,affability,A
865,affable,A
866,affably,A
867,affair,A
868,affaire,A
869,affect,A
870,affectation,A
871,affected,A
872,affectedly,A
873,affecting,A
874,affection,A
875,affectionate,A
876,affectionately,A
877,affective,A
878,affectively,A
879,affidavit,A
880,affiliate,A
881,affiliated,A
882,affiliation,A
883,affinity,A
884,affinity card,A
885,affinity-card,A
886,affinity group,A
887,affinity-group,A
888,affirm,A
889,affirmation,A
890,affirmative,A
891,affirmative action,A
892,affirmative-action,A
893,affirmatively,A
894,affix,A
895,afflict,A
896,affliction,A
897,affluence,A
898,affluent,A
899,afford,A
900,affordability,A
901,affordable,A
902,affordable housing,A
903,affordable-housing,A
904,affordably,A
905,afforest,A
906,afforestation,A
907,affray,A
908,affricate,A
909,affront,A
910,Afghan,A
911,Afghan coat,A
912,Afghan hound,A
913,Afghanistan,A
914,aficionado,A
915,afield,A
916,AFK,A
917,aflame,A
918,afloat,A
919,aflutter,A
920,AFN,A
921,afoot,A
922,aforementioned,A
923,aforethought,A
924,a fortiori,A
925,a-fortiori,A
926,afoul,A
927,afraid,A
928,A-frame,A
929,A-frame tent,A
930,afresh,A
931,Africa,A
932,African,A
933,african-american_1,A
934,african-american_2,A
935,African renaissance,A
936,African violet,A
937,Afrikaans,A
938,Afrikaner,A
939,Afro,A
940,Afro-,A
941,Afrobeat,A
942,Afrocentric,A
943,aft,A
944,after,A
945,afterbirth,A
946,afterburner,A
947,aftercare,A
948,after-effect,A
949,afterglow,A
950,after-hours,A
951,after-image,A
952,afterlife,A
953,aftermarket,A
954,aftermath,A
955,aftermost,A
956,afternoon,A
957,afternoons,A
958,afternoon tea,A
959,afternoon-tea,A
960,afters,A
961,after-sales service,A
962,after-sales-service,A
963,after-school,A
964,aftershave,A
965,aftershock,A
966,aftersun,A
967,aftertaste,A
968,afterthought,A
969,afterwards,A
970,afterword,A
971,ag,A
972,again,A
973,against,A
974,agape,A
975,agar,A
976,agaric,A
977,agate,A
978,agave,A
979,Aga™,A
980,agbada,A
981,age,A
982,-age,A
983,aged,A
984,age group,A
985,age-group,A
986,ageing,A
987,ageism,A
988,ageist,A
989,ageless,A
990,age limit,A
991,age-limit,A
992,age-long,A
993,age-mate,A
994,agency,A
995,agenda,A
996,agent,A
997,agent general,A
998,agent noun,A
999,agent-noun,A
1000,agent provocateur,A
1001,age of consent,A
1002,age-of-consent,A
1003,age-old,A
1004,age-set,A
1005,agglomerate,A
1006,agglomeration,A
1007,agglutinative,A
1008,aggrandizement,A
1009,aggravate,A
1010,aggravated,A
1011,aggravating,A
1012,aggravation,A
1013,aggregate,A
1014,aggregation,A
1015,aggregator,A
1016,aggression,A
1017,aggressive,A
1018,aggressively,A
1019,aggressiveness,A
1020,aggressor,A
1021,aggrieved,A
1022,aggro,A
1023,aghast,A
1024,agile,A
1025,agility,A
1026,Agincourt,A
1027,aging,A
1028,agism,A
1029,agitate,A
1030,agitated,A
1031,agitation,A
1032,agitato,A
1033,agitator,A
1034,agitprop,A
1035,agleam,A
1036,aglow,A
1037,AGM,A
1038,agnosia,A
1039,agnostic,A
1040,agnosticism,A
1041,ago,A
1042,agog,A
1043,agogo,A
1044,a gogo,A
1045,agonize,A
1046,agonized,A
1047,agonizing,A
1048,agonizingly,A
1049,agony,A
1050,agony aunt,A
1051,agony-aunt,A
1052,agony column,A
1053,agony-column,A
1054,agony uncle,A
1055,agony-uncle,A
1056,agora,A
1057,agoraphobia,A
1058,agoraphobic,A
1059,agraphia,A
1060,agrarian,A
1061,agrarian revolution,A
1062,agrarian-revolution,A
1063,agree,A
1064,agreeable,A
1065,agreeably,A
1066,agreed,A
1067,agreement,A
1068,agri-,A
1069,agribusiness,A
1070,agric,A
1071,agricultural,A
1072,agriculturalist,A
1073,agriculture,A
1074,agritourism,A
1075,agro-,A
1076,agro,A
1077,agrochemical,A
1078,agroforestry,A
1079,agro-industrial,A
1080,agro-industry,A
1081,agronomist,A
1082,agronomy,A
1083,aground,A
1084,ague,A
1085,ah,A
1086,aha,A
1087,aha moment,A
1088,aha-moment,A
1089,ahchoo,A
1090,ahead,A
1091,ahead of,A
1092,ahead-of,A
1093,ahem,A
1094,ahimsa,A
1095,ahistorical,A
1096,-aholic,A
1097,aholic,A
1098,ahoy,A
1099,AI,A
1100,aid,A
1101,Aidan,A
1102,aid climbing,A
1103,aid-climbing,A
1104,aide,A
1105,aide-de-camp,A
1106,aide-memoire,A
1107,aiding,A
1108,AIDS,A
1109,aikido,A
1110,ail,A
1111,aileron,A
1112,ailing,A
1113,ailment,A
1114,aim,A
1115,aimless,A
1116,aimlessly,A
1117,aimlessness,A
1118,ain-t,A
1119,Aintree,A
1120,ain’t,A
1121,aioli,A
1122,air,A
1123,air ambulance,A
1124,air-ambulance,A
1125,airbag,A
1126,air ball,A
1127,air-ball,A
1128,airbase,A
1129,airbed,A
1130,airborne,A
1131,air brake,A
1132,air-brake,A
1133,air bridge,A
1134,air-bridge,A
1135,airbrush,A
1136,airbustm,A
1137,Airbus™,A
1138,air chief marshal,A
1139,air-chief-marshal,A
1140,air commodore,A
1141,air-commodore,A
1142,air-conditioned,A
1143,air conditioner,A
1144,air-conditioner,A
1145,air conditioning,A
1146,air-conditioning,A
1147,air-cooled,A
1148,air cooler,A
1149,air-cooler,A
1150,air corridor,A
1151,air-corridor,A
1152,air cover,A
1153,aircraft,A
1154,aircraft carrier,A
1155,aircraft-carrier,A
1156,aircraftman,A
1157,aircraftwoman,A
1158,aircrew,A
1159,air-dash,A
1160,airdrome,A
1161,airdrop,A
1162,air-dry,A
1163,Airedale,A
1164,airer,A
1165,airfare,A
1166,airfield,A
1167,airflow,A
1168,airfoil,A
1169,air force,A
1170,air-force,A
1171,airfreight,A
1172,air freshener,A
1173,air-freshener,A
1174,air guitar,A
1175,air-guitar,A
1176,airgun,A
1177,airhead,A
1178,airheaded,A
1179,air hostess,A
1180,air-hostess,A
1181,airily,A
1182,airing,A
1183,airing cupboard,A
1184,airing-cupboard,A
1185,air kiss,A
1186,air-kiss,A
1187,air lane,A
1188,air-lane,A
1189,airless,A
1190,air letter,A
1191,air-letter,A
1192,airlift,A
1193,airline,A
1194,airliner,A
1195,airlock,A
1196,airmail,A
1197,airman,A
1198,air marshal,A
1199,air-marshal,A
1200,air mattress,A
1201,air-mattress,A
1202,air-milestm,A
1203,airmiss,A
1204,air officer,A
1205,air-officer,A
1206,air out,A
1207,air-out,A
1208,air pistol,A
1209,air-pistol,A
1210,airplane,A
1211,air plant,A
1212,air-plant,A
1213,airplay,A
1214,air pocket,A
1215,air-pocket,A
1216,airport,A
1217,air power,A
1218,air pump,A
1219,air-pump,A
1220,air quality,A
1221,air-quality,A
1222,air quotes,A
1223,air rage,A
1224,air-rage,A
1225,air raid,A
1226,air-raid,A
1227,air rifle,A
1228,air-rifle,A
1229,air-sea rescue,A
1230,airship,A
1231,air show,A
1232,air-show,A
1233,airsick,A
1234,airsickness,A
1235,airspace,A
1236,airspeed,A
1237,airstream,A
1238,Airstream™,A
1239,air strike,A
1240,air-strike,A
1241,airstrip,A
1242,air support,A
1243,air-support,A
1244,air terminal,A
1245,air-terminal,A
1246,airtight,A
1247,airtime,A
1248,air-to-air,A
1249,air-to-ground,A
1250,air-to-surface,A
1251,air traffic control,A
1252,air-traffic-control,A
1253,air traffic controller,A
1254,air-traffic-controller,A
1255,air vice-marshal,A
1256,air-vice-marshal,A
1257,airwaves,A
1258,airway,A
1259,airwoman,A
1260,airworthiness,A
1261,airworthy,A
1262,airy,A
1263,airy-fairy,A
1264,Aisha,A
1265,aisle,A
1266,Aisling,A
1267,aitch,A
1268,aiyo,A
1269,ajar,A
1270,AK,A
1271,aka,A
1272,AKC,A
1273,akimbo,A
1274,akin,A
1275,akinesia,A
1276,akinetic,A
1277,Al,A
1278,-al,A
1279,a-la,A
1280,Alabama,A
1281,alabaster,A
1282,a-la-carte,A
1283,alack,A
1284,alacrity,A
1285,Aladdin,A
1286,aladdin-s-cave,A
1287,Aladdin’s cave,A
1288,a-la-mode,A
1289,Alan,A
1290,alarm,A
1291,alarm call,A
1292,alarm-call,A
1293,alarm clock,A
1294,alarm-clock,A
1295,alarmed,A
1296,alarming,A
1297,alarmingly,A
1298,alarmist,A
1299,alas,A
1300,Alaska,A
1301,alb,A
1302,Albania,A
1303,Albanian,A
1304,Albany,A
1305,albatross,A
1306,albeit,A
1307,Albert,A
1308,Alberta,A
1309,albinism,A
1310,albino,A
1311,Albion,A
1312,album,A
1313,albumen,A
1314,Albuquerque,A
1315,Alcatraz,A
1316,alchemist,A
1317,alchemy,A
1318,Alcheringa,A
1319,alcohol,A
1320,alcoholic,A
1321,alcoholics-anonymoustm,A
1322,alcoholism,A
1323,alcopop,A
1324,alcove,A
1325,al dente,A
1326,al-dente_1,A
1327,alder,A
1328,alderman,A
1329,Aldermaston,A
1330,Alderney,A
1331,Aldershot,A
1332,al desko,A
1333,ale,A
1334,aleatory,A
1335,alec,A
1336,aleck,A
1337,alehouse,A
1338,alert,A
1339,alertly,A
1340,alertness,A
1341,A level,A
1342,Alex,A
1343,Alexander,A
1344,Alexander technique,A
1345,Alexandra,A
1346,alexandrine,A
1347,alexia,A
1348,Alexis,A
1349,alfalfa,A
1350,Alfie,A
1351,Alfred,A
1352,al fresco,A
1353,al-fresco,A
1354,algae,A
1355,algal,A
1356,algebra,A
1357,algebraic,A
1358,Algeria,A
1359,Algerian,A
1360,algicide,A
1361,Algol,A
1362,Algonquian,A
1363,algorithm,A
1364,alhaja,A
1365,alhaji,A
1366,-alia,A
1367,alias,A
1368,alibi,A
1369,Alice,A
1370,Alice band,A
1371,alien,A
1372,alienable,A
1373,alienate,A
1374,alienation,A
1375,alight,A
1376,alight on,A
1377,alight-on,A
1378,alight upon,A
1379,alight-upon,A
1380,align,A
1381,alignment,A
1382,align yourself with,A
1383,align-yourself-with,A
1384,alike,A
1385,alimentary canal,A
1386,alimentary-canal,A
1387,alimony,A
1388,A-line,A
1389,aliquot,A
1390,Alison,A
1391,A-list,A
1392,Alistair,A
1393,A-lister,A
1394,alive,A
1395,alkali,A
1396,alkaline,A
1397,alkalinity,A
1398,alkaloid,A
1399,alkane,A
1400,alkene,A
1401,all,A
1402,all-,A
1403,all-action,A
1404,Allah,A
1405,all-American,A
1406,all-around,A
1407,allay,A
1408,all-Canadian,A
1409,all-clear,A
1410,all-consuming,A
1411,all-day,A
1412,allegation,A
1413,allege,A
1414,alleged,A
1415,allegedly,A
1416,allegiance,A
1417,allegorical,A
1418,allegorically,A
1419,allegory,A
1420,allegro,A
1421,allele,A
1422,alleluia,A
1423,all-embracing,A
1424,all-encompassing,A
1425,allen-keytm,A
1426,Allen key™,A
1427,allen-screwtm,A
1428,Allen screw™,A
1429,allergen,A
1430,allergic,A
1431,allergist,A
1432,allergy,A
1433,alleviate,A
1434,alleviation,A
1435,alley,A
1436,alley cat,A
1437,alley-oop,A
1438,all-fired,A
1439,alliance,A
1440,allied,A
1441,alligator,A
1442,alligator clip,A
1443,alligator pear,A
1444,alligator-pear,A
1445,all-important,A
1446,all-in,A
1447,all-inclusive,A
1448,all-in-one,A
1449,all-in wrestling,A
1450,all-in-wrestling,A
1451,alliteration,A
1452,alliterative,A
1453,allium,A
1454,all-night,A
1455,all-nighter,A
1456,allocate,A
1457,allocation,A
1458,allochthonous,A
1459,allomorph,A
1460,allophone,A
1461,all-or-nothing,A
1462,allosaurus,A
1463,allot,A
1464,allotment,A
1465,allotrope,A
1466,allotropy,A
1467,all out,A
1468,all-out,A
1469,all-over,A
1470,allow,A
1471,allowable,A
1472,allowance,A
1473,allow for,A
1474,allow-for,A
1475,allow of,A
1476,allow-of,A
1477,alloy,A
1478,all-party,A
1479,all-pervading,A
1480,all-points bulletin,A
1481,all-points-bulletin,A
1482,all-powerful,A
1483,all-purpose,A
1484,all-purpose flour,A
1485,all-purpose-flour,A
1486,all right,A
1487,all-right_1,A
1488,all-right_2,A
1489,all-round,A
1490,all-rounder,A
1491,all-saints-day,A
1492,"all-singing, all-dancing",A
1493,all-singing-all-dancing,A
1494,all-souls-day,A
1495,allspice,A
1496,all-star,A
1497,all-star game,A
1498,all-terrain,A
1499,all-terrain board,A
1500,all-terrain vehicle,A
1501,all-ticket,A
1502,all-time,A
1503,allude,A
1504,allude to,A
1505,allude-to,A
1506,allure,A
1507,alluring,A
1508,alluringly,A
1509,allusion,A
1510,allusive,A
1511,alluvial,A
1512,alluvium,A
1513,all-weather,A
1514,all-wheel drive,A
1515,all-wheel-drive,A
1516,ally,A
1517,-ally,A
1518,alma mater,A
1519,alma-mater,A
1520,almanac,A
1521,almighty,A
1522,almirah,A
1523,almond,A
1524,almoner,A
1525,almost,A
1526,alms,A
1527,almshouse,A
